name,party,dim1,dim2
Lukas Benner,BÜNDNIS 90/DIE GRÜNEN,0.04327752442617194,-0.02524120338383172
Maik Außendorf,BÜNDNIS 90/DIE GRÜNEN,0.043126855460195665,-0.026300989507399494
Manuela Rottmann,BÜNDNIS 90/DIE GRÜNEN,0.04316506917441769,-0.022973655703206603
Marcel Emmerich,BÜNDNIS 90/DIE GRÜNEN,0.043071016445688386,-0.02613494399234123
Maria Klein-Schmeink,BÜNDNIS 90/DIE GRÜNEN,0.04345745221390019,-0.02114293288441342
Markus Kurth,BÜNDNIS 90/DIE GRÜNEN,0.04295339345151815,-0.01942780875551295
Marlene Schönberger,BÜNDNIS 90/DIE GRÜNEN,0.04258014326955631,-0.025497651225739253
Matthias Gastel,BÜNDNIS 90/DIE GRÜNEN,0.043126855460195665,-0.026300989507399498
Max Lucks,BÜNDNIS 90/DIE GRÜNEN,0.04249216388341305,-0.022365747894443642
Melis Sekmen,BÜNDNIS 90/DIE GRÜNEN,0.04241486445975826,-0.014651501426414776
Merle Spellerberg,BÜNDNIS 90/DIE GRÜNEN,0.04308374861439657,-0.02356778289023844
Michael Kellner,BÜNDNIS 90/DIE GRÜNEN,0.042248370245700585,-0.02199556710973163
Michael Sacher,BÜNDNIS 90/DIE GRÜNEN,0.04267274064707353,-0.01853528682759121
Misbah Khan,BÜNDNIS 90/DIE GRÜNEN,0.04312374793468906,-0.026295851066476153
Niklas Wagener,BÜNDNIS 90/DIE GRÜNEN,0.04320860784992003,-0.02534343317731292
Nina Stahr,BÜNDNIS 90/DIE GRÜNEN,0.042825020321697695,-0.019036766280265575
Nyke Slawik,BÜNDNIS 90/DIE GRÜNEN,0.04266608563808546,-0.01929479273024571
Oliver Krischer,BÜNDNIS 90/DIE GRÜNEN,0.03767383022728253,0.002594692672607115
Omid Nouripour,BÜNDNIS 90/DIE GRÜNEN,0.042846039669126215,-0.021597898568227584
Ophelia Nick,BÜNDNIS 90/DIE GRÜNEN,0.042748095968552835,-0.024308218224434408
Ottmar von Holtz,BÜNDNIS 90/DIE GRÜNEN,0.04165680507039436,-7.418998164399629e-4
Paula Piechotta,BÜNDNIS 90/DIE GRÜNEN,0.04304252832232672,-0.02456094788502602
Philip Krämer,BÜNDNIS 90/DIE GRÜNEN,0.04320045601090442,-0.02162348621062465
Renate Künast,BÜNDNIS 90/DIE GRÜNEN,0.043122319505812544,-0.026304151079419615
Ricarda Lang,BÜNDNIS 90/DIE GRÜNEN,0.0431244515982317,-0.019071899810239216
Robert Habeck,BÜNDNIS 90/DIE GRÜNEN,0.04296089252226279,-0.024009562030403896
Robin Wagener,BÜNDNIS 90/DIE GRÜNEN,0.042295804378753424,-0.02049031937608119
Sabine Grützmacher,BÜNDNIS 90/DIE GRÜNEN,0.0402154020716767,-0.013564685128743183
Sandra Detzer,BÜNDNIS 90/DIE GRÜNEN,0.04311588413388431,-0.02542212892590875
Sara Nanni,BÜNDNIS 90/DIE GRÜNEN,0.04323447935373695,-0.024245963842218627
Sascha Müller,BÜNDNIS 90/DIE GRÜNEN,0.0431147375089829,-0.026312591026995704
Saskia Weishaupt,BÜNDNIS 90/DIE GRÜNEN,0.042744318858840856,-0.022343145571281788
Schahina Gambir,BÜNDNIS 90/DIE GRÜNEN,0.04257142604875825,-0.022418927764430382
Sebastian Schäfer,BÜNDNIS 90/DIE GRÜNEN,0.043226745664433144,-0.024000056176381155
Stefan Gelbhaar,BÜNDNIS 90/DIE GRÜNEN,0.042748101315957535,-0.024165921248356117
Stefan Schmidt,BÜNDNIS 90/DIE GRÜNEN,0.04309833228966592,-0.02627461402101667
Stefan Wenzel,BÜNDNIS 90/DIE GRÜNEN,0.04240546690103844,-0.02120565912409645
Steffi Lemke,BÜNDNIS 90/DIE GRÜNEN,0.041657185114919254,-0.011497321832912567
Stephanie Aeffner,BÜNDNIS 90/DIE GRÜNEN,0.04183452505021811,-0.01927232939422808
Susanne Menge,BÜNDNIS 90/DIE GRÜNEN,0.043078937919164555,-0.023058640652753645
Sven Lehmann,BÜNDNIS 90/DIE GRÜNEN,0.042618847513106954,-0.02176600093531373
Sven-Christian Kindler,BÜNDNIS 90/DIE GRÜNEN,0.04273947476890412,-0.01607112192616782
Swantje Michaelsen,BÜNDNIS 90/DIE GRÜNEN,0.04252462173993284,-0.022700131403948585
Tabea Rößner,BÜNDNIS 90/DIE GRÜNEN,0.04255494557711574,-0.024424315063185976
Tessa Ganserer,BÜNDNIS 90/DIE GRÜNEN,0.042735864085716245,-0.013206631318156347
Till Steffen,BÜNDNIS 90/DIE GRÜNEN,0.04322407725206181,-0.024162512054235058
Tina Winklmann,BÜNDNIS 90/DIE GRÜNEN,0.04280712221816963,-0.02438215506674727
Tobias B. Bacherle,BÜNDNIS 90/DIE GRÜNEN,0.043089022855585454,-0.024456167829436885
Tobias Lindner,BÜNDNIS 90/DIE GRÜNEN,0.0428929917804777,-0.019089977696018185
Ulle Schauws,BÜNDNIS 90/DIE GRÜNEN,0.042333723416400376,-0.015246426378849211
Uwe Kekeritz,BÜNDNIS 90/DIE GRÜNEN,0.03270061877200554,0.00468713549637061
Wolfgang Strengmann-Kuhn,BÜNDNIS 90/DIE GRÜNEN,0.041638746634051003,-0.021573800666154407
Zoe Mayer,BÜNDNIS 90/DIE GRÜNEN,0.042784878238925954,-0.02194805574324596
Albert Rupprecht,CDU/CSU,0.028992824758857758,0.06477124585730284
Albert Stegemann,CDU/CSU,0.029805621682585253,0.06269768302641338
Alexander Dobrindt,CDU/CSU,0.029273649672252718,0.06475432342936041
Alexander Engelhard,CDU/CSU,0.03223068279907825,0.05425323142832975
Alexander Föhr,CDU/CSU,0.03205283092965989,0.04083661118019019
Alexander Hoffmann,CDU/CSU,0.029221027076711373,0.0670628832836183
Alexander Radwan,CDU/CSU,0.029697669588103624,0.06655279046246886
Alexander Throm,CDU/CSU,0.030038926572360555,0.06557094395261553
Alois Rainer,CDU/CSU,0.029090941039014995,0.06715762247289596
Andrea Lindholz,CDU/CSU,0.029051902567907458,0.06079078048679201
Andreas Jung,CDU/CSU,0.029841811575592153,0.0615076747852295
Andreas Lenz,CDU/CSU,0.029381753794200476,0.06415803115611292
Andreas Mattfeldt,CDU/CSU,0.030279118594321277,0.04991842751299695
Andreas Scheuer,CDU/CSU,0.028950110035249835,0.045818043075745295
André Berghegger,CDU/CSU,0.029508271189012995,0.048623315489815494
Anja Karliczek,CDU/CSU,0.0300014768153622,0.06504219196885876
Anja Weisgerber,CDU/CSU,0.030044652190136634,0.06413215855896653
Anne Janssen,CDU/CSU,0.028964942224028983,0.06580721371563807
Anne König,CDU/CSU,0.030229895259555953,0.0535378305131085
Annette Widmann-Mauz,CDU/CSU,0.03023174211890414,0.059527111892471694
Ansgar Heveling,CDU/CSU,0.02917684034009752,0.06566607943081097
Antje Tillmann,CDU/CSU,0.029686636350216525,0.06217861792620494
Armin Laschet,CDU/CSU,0.029476809350434098,0.053645732806946705
Armin Schwarz,CDU/CSU,0.02962131647372333,0.04360507767220162
Artur Auernhammer,CDU/CSU,0.03091187667562253,0.05883364619497699
Astrid Damerow,CDU/CSU,0.03073664415479032,0.05453969567074227
Astrid Mannes,CDU/CSU,0.034023839418625225,0.022622565184042497
Astrid Timmermann-Fechter,CDU/CSU,0.029906418871116853,0.05197351497083503
Axel Knoerig,CDU/CSU,0.03001462598670275,0.06000866240432388
Axel Müller,CDU/CSU,0.029365667698574086,0.06887841857707937
Bernhard Loos,CDU/CSU,0.029263098430705004,0.06479105447294128
Bettina Wiesmann,CDU/CSU,0.035222746399157734,0.02144773557944353
Björn Simon,CDU/CSU,0.030489294542344562,0.062408394519582036
Carsten Brodesser,CDU/CSU,0.028953362117742357,0.06830826484916475
Carsten Körber,CDU/CSU,0.02883575691644144,0.05629018185681688
Carsten Linnemann,CDU/CSU,0.028746318920712752,0.06466570058408981
Carsten Müller,CDU/CSU,0.028899459883760303,0.06731764102742747
Catarina dos Santos-Wintz,CDU/CSU,0.02903116291501679,0.06595173886576942
Christian Haase,CDU/CSU,0.029512975557980648,0.061773293201599154
Christian Hirte,CDU/CSU,0.029025812633852257,0.06682334691266888
