name,party,dim1_imp,dim1_dc
Hanna Steinmüller,BÜNDNIS 90/DIE GRÜNEN,0.043214571470682514,-0.03533801020894857
Harald Ebner,BÜNDNIS 90/DIE GRÜNEN,0.04318804023377359,-0.030166416059974426
Helge Limburg,BÜNDNIS 90/DIE GRÜNEN,0.04285880534155434,-0.03219636582135046
Ingrid Nestle,BÜNDNIS 90/DIE GRÜNEN,0.0431755481432203,-0.03138182554436047
Irene Mihalic,BÜNDNIS 90/DIE GRÜNEN,0.043084480202110045,-0.03529087710432946
Jamila Anna Schäfer,BÜNDNIS 90/DIE GRÜNEN,0.04321871411655691,-0.030656452871505684
Jan-Niclas Gesenhues,BÜNDNIS 90/DIE GRÜNEN,0.04270757982291242,-0.033017242446040235
Janosch Dahmen,BÜNDNIS 90/DIE GRÜNEN,0.04267857137523673,-0.03187828797131717
Johannes F. Kretschmann,BÜNDNIS 90/DIE GRÜNEN,0.03595458348980966,-0.0020396279573502755
Johannes Wagner,BÜNDNIS 90/DIE GRÜNEN,0.04305340344108581,-0.03365259624216818
Julia Verlinden,BÜNDNIS 90/DIE GRÜNEN,0.04276907005787408,-0.03406617653986903
Julian Pahlke,BÜNDNIS 90/DIE GRÜNEN,0.04184671149823169,-0.030819767548914814
Jürgen Kretz,BÜNDNIS 90/DIE GRÜNEN,0.042339917763140965,-0.008411939633712045
Jürgen Trittin,BÜNDNIS 90/DIE GRÜNEN,0.04073849657372703,-0.021802628324215177
Kai Gehring,BÜNDNIS 90/DIE GRÜNEN,0.043101296829775676,-0.03515854160586974
Karl Bär,BÜNDNIS 90/DIE GRÜNEN,0.042254520690271226,-0.03376343806022484
Karoline Otte,BÜNDNIS 90/DIE GRÜNEN,0.042428156996006466,-0.0315771674353061
Kassem Taher Saleh,BÜNDNIS 90/DIE GRÜNEN,0.043215105582736134,-0.034507172528591444
Katharina Beck,BÜNDNIS 90/DIE GRÜNEN,0.04304898162197117,-0.03276273136236858
Katharina Dröge,BÜNDNIS 90/DIE GRÜNEN,0.04322386212033553,-0.03506375354027507
Kathrin Henneberger,BÜNDNIS 90/DIE GRÜNEN,0.04064278135039393,-0.02930424716974792
Katja Keul,BÜNDNIS 90/DIE GRÜNEN,0.04288564255202374,-0.0325316020041196
Katrin Göring-Eckardt,BÜNDNIS 90/DIE GRÜNEN,0.04305338730905695,-0.03147865324501067
Katrin Uhlig,BÜNDNIS 90/DIE GRÜNEN,0.04323286527342545,-0.034314834269253296
Kirsten Kappert-Gonther,BÜNDNIS 90/DIE GRÜNEN,0.04314854495359333,-0.032890264392072245
Konstantin von Notz,BÜNDNIS 90/DIE GRÜNEN,0.04311373026808282,-0.03307278617717594
Kordula Schulz-Asche,BÜNDNIS 90/DIE GRÜNEN,0.043410828863751395,-0.03339347287730762
Lamya Kaddor,BÜNDNIS 90/DIE GRÜNEN,0.043217184269753524,-0.03112278168295318
Laura Kraft,BÜNDNIS 90/DIE GRÜNEN,0.04328903130126823,-0.032440012535958
Leon Eckert,BÜNDNIS 90/DIE GRÜNEN,0.043219049187302475,-0.034306197106077886
Linda Heitmann,BÜNDNIS 90/DIE GRÜNEN,0.043138492817083735,-0.03513640460061754
Lisa Badum,BÜNDNIS 90/DIE GRÜNEN,0.042908506007531794,-0.030123139704257566
Lisa Paus,BÜNDNIS 90/DIE GRÜNEN,0.043239392124714886,-0.02847326776689501
Luise Amtsberg,BÜNDNIS 90/DIE GRÜNEN,0.04375208712158593,-0.024469279203248658
Lukas Benner,BÜNDNIS 90/DIE GRÜNEN,0.04327752442617194,-0.034364373721170384
Maik Außendorf,BÜNDNIS 90/DIE GRÜNEN,0.043126855460195665,-0.035397354851850624
Manuela Rottmann,BÜNDNIS 90/DIE GRÜNEN,0.04316506917441769,-0.03212173992005586
Marcel Emmerich,BÜNDNIS 90/DIE GRÜNEN,0.043071016445688386,-0.03523086097943661
Maria Klein-Schmeink,BÜNDNIS 90/DIE GRÜNEN,0.04345745221390019,-0.030308394319110633
Markus Kurth,BÜNDNIS 90/DIE GRÜNEN,0.04295339345151815,-0.028508507669788002
