name,party,dim1,dim2
Armin Schwarz,CDU/CSU,0.034701642016851685,0.022474838554224195
Artur Auernhammer,CDU/CSU,0.04877364802491673,0.03178197458109357
Astrid Damerow,CDU/CSU,0.0447389824013191,0.02864614436374804
Astrid Mannes,CDU/CSU,0.014601446450957307,0.006903817646655235
Astrid Timmermann-Fechter,CDU/CSU,0.042356836879484515,0.030664162724029918
Axel Knoerig,CDU/CSU,0.050036297646881917,0.029773506541487707
Axel Müller,CDU/CSU,0.05819294429253024,0.037117389183153215
Bernhard Loos,CDU/CSU,0.05477879063048193,0.030480130310226686
Bettina Wiesmann,CDU/CSU,0.01329929021053648,0.0061105833556318635
Björn Simon,CDU/CSU,0.052173626496124,0.031663411984601146
Carsten Brodesser,CDU/CSU,0.057957945214118366,0.03627632299225344
Carsten Körber,CDU/CSU,0.04700448868188218,0.029904499611717653
Carsten Linnemann,CDU/CSU,0.05454344281022125,0.03757674559905931
Carsten Müller,CDU/CSU,0.05690819626073374,0.036835234620007484
Catarina dos Santos-Wintz,CDU/CSU,0.05578136930508049,0.03298938827493227
Christian Haase,CDU/CSU,0.05149717833136037,0.03198125527954417
Christian Hirte,CDU/CSU,0.056492638012361644,0.034407736669522675
Christian von Stetten,CDU/CSU,0.056512311719569934,0.03530341480028889
Christiane Schenderlein,CDU/CSU,0.05370266882221647,0.030092056362254857
Christina Stumpp,CDU/CSU,0.04548858614921841,0.028918472389360666
Christoph Ploß,CDU/CSU,0.05849130461158194,0.037086999287938585
Christoph de Vries,CDU/CSU,0.05535040280606725,0.03450992221439971
Daniela Ludwig,CDU/CSU,0.05326792848616277,0.02946798099395309
Detlef Seif,CDU/CSU,0.0556904746917544,0.036003710999797045
Diana Stöcker,CDU/CSU,0.04237247874660838,0.03159843182215152
Dieter Stier,CDU/CSU,0.0540032214906912,0.02916162498399329
Dietrich Monstadt,CDU/CSU,0.05662673275495559,0.034097384715847376
Dorothee Bär,CDU/CSU,0.05192753276135894,0.03137897003413581
Elisabeth Winkelmeier-Becker,CDU/CSU,0.05138337214236631,0.034006388982161975
Emmi Zeulner,CDU/CSU,0.05260010237600348,0.026538278630623816
Enak Ferlemann,CDU/CSU,0.052523773666065164,0.03277172660802538
Erich Irlstorfer,CDU/CSU,0.03362843514181092,0.025369733589736945
Erwin Rüddel,CDU/CSU,0.055700849308712365,0.03947358328683763
