name,party,irt,svd_imp,svd_dc
Marc Bernhard,AfD,1.5288084590323596,0.009423637375248215,0.03219473011103212
Marc Biadacz,CDU/CSU,0.9494697306651241,0.029009154636725716,0.056759741083255204
Marc Henrichmann,CDU/CSU,0.9623203982226107,0.0295077755647765,0.056691149497230316
Marc Jongen,AfD,1.469883122171901,0.011220620012141807,0.0196528454083324
Marcel Emmerich,BÜNDNIS 90/DIE GRÜNEN,-1.446469105560647,0.043071016445688386,-0.03523086097943661
Marco Buschmann,FDP,-0.2068249662293012,0.0423693494641807,-0.02621184832633465
Marco Wanderwitz,CDU/CSU,1.0516672129446616,0.02802330942450949,0.046040951744346914
Marcus Bühl,AfD,1.7000562094013982,0.007442132207097446,0.03491994049800819
Marcus Faber,FDP,-0.11014760690605924,0.043150513592027866,-0.0241761084476091
Mareike Lotte Wulf,CDU/CSU,0.9579062699103364,0.028955461330173744,0.05710417623777717
Maria Klein-Schmeink,BÜNDNIS 90/DIE GRÜNEN,-1.1980445881797104,0.04345745221390019,-0.030308394319110633
Maria-Lena Weiss,CDU/CSU,0.9676643415050945,0.028998216213631932,0.051772827805530136
Mariana Harder-Kühnel,AfD,1.4849690904962647,0.0124071905871224,0.018758406136516016
Marianne Schieder,SPD,-1.4525896807919556,0.043165474448855594,-0.03311105026355318
Marie-Agnes Strack-Zimmermann,FDP,-0.4463274402931529,0.04242372807197308,-0.02360283936684985
Mario Brandenburg,FDP,-0.4115865775354785,0.042724069821801124,-0.03021563058464353
Mario Czaja,CDU/CSU,0.9675418531798623,0.028445193865155895,0.05088561671463323
Marja-Liisa Völlers,SPD,-1.6525289591060475,0.04320415138774497,-0.03565385494217457
Mark Helfrich,CDU/CSU,0.9448572154329938,0.02950489933760566,0.05202679095259797
Markus Frohnmaier,AfD,1.4972169570305447,0.011367189319769731,0.028146400089460625
Markus Grübel,CDU/CSU,0.9746540985309802,0.029992195218963808,0.05078370605538522
Markus Herbrand,FDP,-0.19573168678736844,0.042750994155953057,-0.030156623220798692
Markus Hümpfer,SPD,-0.9752263831027745,0.043266539970321684,-0.03566691484286695
Markus Koob,CDU/CSU,0.979714539597339,0.029455085285685478,0.05214050548079826
Markus Kurth,BÜNDNIS 90/DIE GRÜNEN,-0.7895945565046438,0.04295339345151815,-0.028508507669788002
Markus Reichel,CDU/CSU,0.9644063328088135,0.028950794839035978,0.05842995185123224
Markus Töns,SPD,-1.0480573858428082,0.043296838835376585,-0.034063275345940676
Markus Uhl,CDU/CSU,0.9689503379868137,0.029797166866946116,0.05673821881391942
Marlene Schönberger,BÜNDNIS 90/DIE GRÜNEN,-0.7023494211345879,0.04258014326955631,-0.03433119879161673
Marlon Bröhr,CDU/CSU,0.9302100649214595,0.030016806908301094,0.05421357142433638
Martin Diedenhofen,SPD,-1.1815815247664372,0.04297471777546373,-0.0299082338774522
Martin Erwin Renner,AfD,1.5026788885165607,0.012673281010588663,0.022446820849785956
Martin Gassner-Herz,FDP,-0.25587928897280876,0.04264463075359569,-0.029854210636507728
Martin Gerster,SPD,-0.6933104733972353,0.043064678801984155,-0.03323624692461452
